pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,0.655,,,,,,,
1,25,1.005,0.017,,,,,,,
2,50,2.01,0.0111,,,,,,,
3,75,3.015,0.0103,,,,,,,
4,100,4.02,0.0102,,,,,,,
5,125,5.025,0.0104,,,,,,,
6,150,6.03,0.0102,,,,,,,
7,175,7.036,0.01,,,,,,,
8,200,8.041,0.0108,,,,,,,
9,225,9.046,0.0118,,,,,,,
10,250,10.051,0.0165,,,,,,,
11,275,11.056,0.015,,,,,,,
12,300,12.061,0.0141,,,,,,,
13,325,13.066,0.0137,,,,,,,
14,350,14.071,0.0135,,,,,,,
15,375,15.076,0.016,,,,,,,
16,400,16.081,0.0154,,,,,,,
17,425,17.086,0.0145,,,,,,,
18,450,18.091,0.014,,,,,,,
19,475,19.096,0.0142,,,,,,,
20,500,20.102,0.015,,,,,,,
21,525,21.107,0.0143,,,,,,,
22,550,22.112,0.0141,,,,,,,
23,575,23.117,0.0139,,,,,,,
24,600,24.122,0.0124,,,,,,,
25,625,25.127,0.0131,,,,,,,
26,650,26.132,0.0111,,,,,,,
27,675,27.137,0.0118,,,,,,,
28,700,28.142,0.012,,,,,,,
29,725,29.147,0.0123,,,,,,,
30,750,30.152,0.0142,,,,,,,
31,775,31.157,0.0166,,,,,,,
32,800,32.162,0.0148,,,,,,,
33,825,33.168,0.0151,,,,,,,
