pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,0.023,drone,115.9,398.4,503.6,824.1,309.8,611.3
1,25,1.005,0.0184,drone,116.1,398.2,503.5,823.6,309.8,610.9
2,50,2.01,0.0155,drone,116.1,398.2,503.5,823.6,309.8,610.9
3,75,3.015,0.015,drone,116.0,398.3,503.5,823.7,309.7,611.0
4,100,4.02,0.0133,drone,116.0,398.2,503.5,823.7,309.7,610.9
5,125,5.025,0.014,drone,118.5,400.4,501.9,817.1,310.2,608.7
6,150,6.03,0.013,drone,109.1,399.3,501.1,826.4,305.1,612.9
7,175,7.036,0.0122,,,,,,,
8,200,8.041,0.012,,,,,,,
9,225,9.046,0.0122,,,,,,,
10,250,10.051,0.0175,drone,177.9,418.2,495.1,573.0,336.5,495.6
11,275,11.056,0.012,,,,,,,
12,300,12.061,0.0123,,,,,,,
13,325,13.066,0.0186,drone,222.8,218.1,486.9,354.8,354.9,286.4
14,350,14.071,0.0175,drone,221.8,199.1,461.7,327.7,341.7,263.4
15,375,15.076,0.0138,drone,201.5,275.6,367.2,368.3,284.3,321.9
16,400,16.081,0.0141,drone,214.8,378.0,303.2,418.6,259.0,398.3
17,425,17.086,0.0118,,,,,,,
18,450,18.091,0.012,,,,,,,
19,475,19.096,0.0122,,,,,,,
20,500,20.102,0.0134,drone,119.1,400.0,501.8,813.7,310.5,606.9
21,525,21.107,0.0134,drone,119.2,399.9,501.7,813.5,310.4,606.7
22,550,22.112,0.0136,drone,119.0,400.4,501.7,813.6,310.4,607.0
23,575,23.117,0.013,drone,84.8,284.1,421.6,664.1,253.2,474.1
24,600,24.122,0.0121,,,,,,,
25,625,25.127,0.013,drone,117.2,397.5,498.1,803.5,307.6,600.5
26,650,26.132,0.0128,drone,115.9,400.9,499.0,832.4,307.4,616.6
27,675,27.137,0.012,,,,,,,
28,700,28.142,0.0181,drone,342.9,418.0,506.0,776.8,424.5,597.4
29,725,29.147,0.0132,drone,134.6,400.2,505.5,810.7,320.0,605.4
30,750,30.152,0.013,drone,119.2,400.0,501.8,813.6,310.5,606.8
31,775,31.157,0.0131,drone,119.2,400.0,501.7,813.6,310.5,606.8
32,800,32.162,0.013,drone,119.2,400.3,501.7,813.6,310.5,607.0
33,825,33.168,0.0133,drone,119.4,399.5,501.5,813.0,310.5,606.2
