pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,0.0203,drone,121.4,396.2,502.9,827.1,312.1,611.6
1,25,1.005,0.0202,drone,121.2,395.4,503.1,826.6,312.2,611.0
2,50,2.01,0.0193,drone,121.2,395.4,503.1,826.6,312.2,611.0
3,75,3.015,0.019,drone,121.2,395.6,503.1,826.8,312.2,611.2
4,100,4.02,0.0191,drone,121.3,395.6,503.1,826.8,312.2,611.2
5,125,5.025,0.019,drone,120.7,399.3,501.5,816.9,311.1,608.1
6,150,6.03,0.019,drone,110.2,401.5,500.5,828.0,305.4,614.7
7,175,7.036,0.0194,drone,117.2,444.1,483.7,892.5,300.4,668.3
8,200,8.041,0.0182,,,,,,,
9,225,9.046,0.0179,,,,,,,
10,250,10.051,0.0189,drone,185.5,419.0,501.3,579.3,343.4,499.2
11,275,11.056,0.0177,,,,,,,
12,300,12.061,0.0184,,,,,,,
13,325,13.066,0.02,drone,228.2,218.7,484.6,357.2,356.4,288.0
14,350,14.071,0.0234,drone,221.8,197.6,459.3,333.2,340.6,265.4
15,375,15.076,0.019,drone,205.6,275.3,369.2,367.5,287.4,321.4
16,400,16.081,0.0229,drone,217.8,375.6,301.6,418.0,259.7,396.8
17,425,17.086,0.0182,,,,,,,
18,450,18.091,0.0184,,,,,,,
19,475,19.096,0.0184,,,,,,,
20,500,20.102,0.0196,drone,118.4,401.1,501.5,813.7,309.9,607.4
21,525,21.107,0.0192,drone,118.3,401.3,501.4,813.7,309.9,607.5
22,550,22.112,0.0194,drone,118.4,405.4,501.3,813.7,309.9,609.6
23,575,23.117,0.0192,drone,86.0,284.0,431.6,652.7,258.8,468.4
24,600,24.122,0.0184,,,,,,,
25,625,25.127,0.0192,drone,116.2,395.5,501.0,806.5,308.6,601.0
26,650,26.132,0.0248,drone,119.7,404.6,490.5,827.2,305.1,615.9
27,675,27.137,0.0184,,,,,,,
28,700,28.142,0.0255,drone,340.2,425.2,506.0,773.5,423.1,599.4
29,725,29.147,0.0196,drone,134.2,403.0,506.0,811.6,320.1,607.3
30,750,30.152,0.0195,drone,118.5,401.4,501.5,813.9,310.0,607.6
31,775,31.157,0.0192,drone,118.5,401.2,501.5,813.9,310.0,607.6
32,800,32.162,0.0194,drone,118.4,400.3,501.7,813.9,310.0,607.1
33,825,33.168,0.019,drone,118.4,401.0,501.8,813.8,310.1,607.4
