pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,0.0111,,,,,,,
1,25,1.005,0.0129,,,,,,,
2,50,2.01,0.0112,,,,,,,
3,75,3.015,0.0113,,,,,,,
4,100,4.02,0.0113,,,,,,,
5,125,5.025,0.0125,,,,,,,
6,150,6.03,0.0142,,,,,,,
7,175,7.036,0.0138,,,,,,,
8,200,8.041,0.0163,,,,,,,
9,225,9.046,0.0143,,,,,,,
10,250,10.051,0.0148,,,,,,,
11,275,11.056,0.0138,,,,,,,
12,300,12.061,0.0129,,,,,,,
13,325,13.066,0.0132,,,,,,,
14,350,14.071,0.012,,,,,,,
15,375,15.076,0.0115,,,,,,,
16,400,16.081,0.0116,,,,,,,
17,425,17.086,0.0128,,,,,,,
18,450,18.091,0.0111,,,,,,,
19,475,19.096,0.0119,,,,,,,
20,500,20.102,0.0116,,,,,,,
21,525,21.107,0.0117,,,,,,,
22,550,22.112,0.012,,,,,,,
23,575,23.117,0.0121,,,,,,,
24,600,24.122,0.0123,,,,,,,
25,625,25.127,0.0127,,,,,,,
26,650,26.132,0.0124,,,,,,,
27,675,27.137,0.0123,,,,,,,
28,700,28.142,0.0125,,,,,,,
29,725,29.147,0.0131,,,,,,,
30,750,30.152,0.0134,,,,,,,
31,775,31.157,0.0148,,,,,,,
32,800,32.162,0.0137,,,,,,,
33,825,33.168,0.0136,,,,,,,
